date,v
1953/5/6,366.69
1953/5/7,365.49
1953/5/8,364.13
1953/5/11,359.56
1953/5/12,361.7
1953/5/13,360.08
1953/5/14,359.62
1953/5/15,357.51
1953/5/18,349.43
1953/5/19,349.53
1953/5/20,350.88
1953/5/21,350.15
1953/5/22,348.8
1953/5/25,345.46
1953/5/26,337.7
1953/5/27,335.63
1953/5/28,335.05
1953/5/29,333.59
1953/6/1,329.34
1953/6/2,323.64
1953/6/3,321.79
1953/6/4,327.99
1953/6/5,324.15
1953/6/8,335.34
1953/6/9,338.92
1953/6/10,341.1
1953/6/11,343.36
1953/6/12,347.86
1953/6/15,350.35
1953/6/16,345.36
1953/6/17,343.59
1953/6/18,344.3
1953/6/19,346.79
1953/6/22,348.78
1953/6/23,345.59
1953/6/24,344.8
1953/6/25,341.48
1953/6/26,340.05
1953/6/29,344.41
1953/6/30,346.27
1953/7/1,347.76
1953/7/2,349.2
1953/7/3,348.2
1953/7/6,346.87
1953/7/7,345.21
1953/7/8,345.57
1953/7/9,348.08
1953/7/10,348.64
1953/7/13,355.02
1953/7/14,356.75
1953/7/15,364.07
1953/7/16,365.46
1953/7/17,361.83
1953/7/20,360.41
1953/7/21,359.14
1953/7/22,356.87
1953/7/23,359.45
1953/7/24,361.39
1953/7/27,367.1
1953/7/28,371.46
1953/7/29,380.6
1953/7/30,381.32
1953/7/31,386.13
1953/8/3,397.08
1953/8/4,393.97
1953/8/5,400.31
1953/8/6,401.07
1953/8/7,400.88
1953/8/10,390.44
1953/8/11,390.96
1953/8/12,397.19
1953/8/13,394.23
1953/8/14,391.71
1953/8/17,393.58
1953/8/18,397.13
1953/8/19,404.81
1953/8/20,405.57
1953/8/21,403.89
1953/8/24,416.05
1953/8/25,412.4
1953/8/26,415.15
1953/8/27,413.14
1953/8/28,415.9
1953/8/31,409.47
1953/9/1,406.94
1953/9/2,414.42
1953/9/3,418.05
1953/9/4,425.58
1953/9/7,433.38
1953/9/8,435.23
1953/9/9,431.81
1953/9/10,433.92
1953/9/11,436.99
1953/9/14,432.41
1953/9/15,429.98
1953/9/16,416.65
1953/9/17,420.48
1953/9/18,420.99
1953/9/21,426.68
1953/9/22,428.97
1953/9/24,432.92
1953/9/25,429.5
1953/9/28,442.02
1953/9/29,448.77
1953/9/30,450.87
1953/10/1,448.75
1953/10/2,449.01
1953/10/5,442.54
1953/10/6,444.09
1953/10/7,442.16
1953/10/8,439.03
1953/10/9,442.49
1953/10/12,440.19
1953/10/13,439.79
1953/10/14,442.05
1953/10/15,439.95
1953/10/16,432.54
1953/10/19,429.04
1953/10/20,421.12
1953/10/21,424.93
1953/10/22,429.02
1953/10/23,431.2
1953/10/26,424.49
1953/10/27,424.33
1953/10/28,429.13
1953/10/29,427.54
1953/10/30,427.68
1953/11/2,440.19
1953/11/4,438.98
1953/11/5,436.61
1953/11/6,433.26
1953/11/9,429.57
1953/11/10,429.17
1953/11/11,428.74
1953/11/12,432.25
1953/11/13,432.05
1953/11/16,421.98
1953/11/17,423.36
1953/11/18,418.26
1953/11/19,419.07
1953/11/20,418.85
1953/11/24,414.12
1953/11/25,407.44
1953/11/26,414.49
1953/11/27,420.39
1953/11/30,423.06
1953/12/1,420.91
1953/12/2,421.74
1953/12/3,420.35
1953/12/4,420.14
1953/12/7,415.66
1953/12/8,415.86
1953/12/9,417.83
1953/12/10,417.55
1953/12/11,417.72
1953/12/14,420.65
1953/12/15,417.68
1953/12/16,415.44
1953/12/17,410.94
1953/12/18,407.9
1953/12/21,402.15
1953/12/22,403
1953/12/23,405.23
1953/12/24,402.98
1953/12/25,397.18
1953/12/28,377.95
1954/1/4,362.88
1954/1/5,363.24
1954/1/6,363.82
1954/1/7,366.31
1954/1/8,375.22
1954/1/11,377.27
1954/1/12,375.19
1954/1/13,370.93
1954/1/14,363.38
1954/1/18,359.73
1954/1/19,356.96
1954/1/20,352.69
1954/1/21,351.07
1954/1/22,350.04
1954/1/25,354.54
1954/1/26,357.58
1954/1/27,360.1
1954/1/28,358.04
1954/1/29,355.19
1954/2/1,354.5
1954/2/2,357.71
1954/2/3,356.17
1954/2/4,357.19
1954/2/5,356.75
1954/2/8,362.03
1954/2/9,366.36
1954/2/10,367.32
1954/2/11,369.38
1954/2/12,368.18
1954/2/15,365.66
1954/2/16,366.75
1954/2/17,367.09
1954/2/18,366
1954/2/19,362.38
1954/2/22,355.35
1954/2/23,352.86
1954/2/24,354.09
1954/2/25,355.55
1954/2/26,353.21
1954/3/1,349.65
1954/3/2,349.03
1954/3/3,351.31
1954/3/4,350.46
1954/3/5,349.22
1954/3/8,348.9
1954/3/9,347.94
1954/3/10,345.16
1954/3/11,340.83
1954/3/12,340.17
1954/3/15,338.75
1954/3/16,334.32
1954/3/17,329.76
1954/3/18,327.82
1954/3/19,319.99
1954/3/22,314.08
1954/3/23,320.89
1954/3/24,332.44
1954/3/25,332.24
1954/3/26,333.76
1954/3/29,329.39
1954/3/30,324.18
1954/3/31,322.99
1954/4/1,322.69
1954/4/2,317.79
1954/4/5,317.62
1954/4/6,316.22
1954/4/7,318.25
1954/4/8,323.93
1954/4/9,327.85
1954/4/12,326.56
1954/4/13,328.16
1954/4/14,327.18
1954/4/15,325.91
1954/4/16,327.55
1954/4/19,330.13
1954/4/20,335.65
1954/4/21,339.3
1954/4/22,343.17
1954/4/23,351.53
1954/4/26,347.03
1954/4/27,351.67
1954/4/28,351.52
1954/4/30,345.63
1954/5/4,344.3
1954/5/6,338.44
1954/5/7,337.91
1954/5/10,333.9
1954/5/11,332.78
1954/5/12,331.69
1954/5/13,331.18
1954/5/14,327.43
1954/5/17,325.37
1954/5/18,323.92
1954/5/19,323.99
1954/5/20,325.47
1954/5/21,324.84
1954/5/24,320.84
1954/5/25,321.06
1954/5/26,321.38
1954/5/27,321.83
1954/5/28,321.96
1954/5/31,325.82
1954/6/1,326.39
1954/6/2,324.69
1954/6/3,325.03
1954/6/4,323.68
1954/6/7,322.75
1954/6/8,325.41
1954/6/9,324.84
1954/6/10,327.49
1954/6/11,327.33
